positive_score,negative_score,polarity_score,average_sentence_length,percentage_of_complex_words,fog_index,complex_word_count,word_count,uncertainty_score,constraining_score,positive_word_proportion,negative_word_proportion,uncertainty_word_proportion,constraining_word_proportion
3708,7313,-0.3271028037086378,4.921851463362698,0.1539860529807267,2.03033500653737,96099,624076,4326,2884,0.005941584037841545,0.011718124074631936,0.006931848044148469,0.004621232029432313
3589,6887,-0.31481481478476375,1.4607625070322756,0.16101781043450042,0.6487121269867104,90307,560851,3977,2716,0.006399204066677246,0.01227955374956985,0.007091009911723434,0.004842640915323321
1551,2820,-0.2903225805787411,1.3168037168538733,0.07358692928381697,0.5561562584550761,36707,498825,1504,987,0.003109306871147196,0.005653285220267629,0.003015085450809402,0.0019786498270936703
24,53,-0.37662337173216404,2.5422809725974527,0.0017154872059571432,1.017598583921364,678,395223,26,13,6.072521083034135e-05,0.00013410150725033716,6.578564506620313e-05,3.289282253310156e-05
707,1717,-0.4166666664947745,7.52400202122284,2.007790463398254,3.8127169938484373,29896,14890,1111,707,0.04748153122901276,0.11531229012760241,0.07461383478844863,0.04748153122901276
497,1349,-0.46153846128844067,8.643939393939394,1.1603340722792184,3.921709386487445,22507,19397,710,497,0.025622518946228797,0.06954683713976388,0.03660359849461257,0.025622518946228797
27384,43521,-0.22758620689334202,0.8464525292463604,1.1997523843213018,0.818481965427065,529098,441006,20049,12225,0.0620943932735609,0.09868573216690929,0.04546196650385709,0.027720711282839688
819,2574,-0.5172413791579011,9.037212984956453,1.8399772209567198,4.35087608236527,42003,22828,1638,1170,0.035876993166287015,0.11275626423690205,0.07175398633257403,0.05125284738041002
1683,6138,-0.5696202530917248,11.789209787404733,1.0661097973835083,5.142127833915296,62667,58781,1980,2079,0.028631700719620286,0.10442149674214457,0.03368435378778857,0.035368571477178
1210,3630,-0.4999999998966942,10.360866621530128,1.8146441874142325,4.870204323577745,55539,30606,2541,1452,0.039534731751944066,0.11860419525583218,0.08302293667908253,0.04744167810233288
9027,14160,-0.2213740457919794,0.8328295453356902,2.1606510436289654,1.1973922355858624,172044,79626,6726,4248,0.11336749302991485,0.1778313616155527,0.08446989676738753,0.053349408484665815
644,1840,-0.4814814812876484,8.875252865812541,2.3765385199817657,4.500716554317723,31280,13162,1932,920,0.048928734234918704,0.13979638352833915,0.14678620270475612,0.06989819176416957
1116,7533,-0.7419354837851849,8.406181976491075,0.706807706250971,3.645195873096819,54591,77236,2418,1953,0.014449220570718319,0.09753223885234864,0.031306644569889686,0.025286135998757057
1300,7600,-0.7078651684597904,8.47468551824514,0.7004587943767021,3.6700577250487374,57100,81518,2600,2100,0.01594739812066047,0.09323094285924581,0.03189479624132094,0.025761181579528447
23797,92943,-0.5923076923026186,9.32801221959328,1.05311074223077,4.15244918472962,655989,622906,26940,22001,0.038203195987837654,0.14920870885815837,0.04324890111830677,0.03531993591328387
1062,6726,-0.7272727271793434,8.479585798816569,1.6674226300547783,4.058803371548539,47790,28661,1652,2006,0.03705383622343952,0.2346742960817836,0.057639300792017026,0.06999057953316354
1170,7670,-0.7352941175638807,6.857552258934592,1.4093266796135597,3.306751575419261,57330,40679,1950,2080,0.028761768971705303,0.1885493743700681,0.04793628161950884,0.051132033727476094
759,4140,-0.6901408449295486,7.247000705716302,0.7038416593631318,3.180336946031774,28911,41076,1035,966,0.01847794332456909,0.10078878177037687,0.025197195442594217,0.023517382413087935
193886,944250,-0.6592920353976508,8.042074523475348,1.6826803388931644,3.889901944947405,5977732,3552506,191368,201440,0.05457724772315656,0.2657982843660222,0.0538684522981805,0.05670363399808473
1845,9635,-0.6785714285123196,8.976074332171892,2.201619998964857,4.4710777324547,85075,38642,3895,2870,0.047745975881165574,0.24934009626830908,0.10079706019357176,0.07427151803736867
1760,14080,-0.7777777777286756,7.7236943658348345,1.736726400639531,3.7841683065897467,104280,60044,5280,3300,0.029311837985477318,0.23449470388381854,0.08793551395643195,0.05495969622276997
4607,23577,-0.6730769230530416,8.81836309254056,1.618317864594575,4.174672382854054,157451,97293,8130,7046,0.04735181359398929,0.2423298695692393,0.08356202398939286,0.07242042079080716
17511,66901,-0.5851063829717918,8.207388241249841,0.8785337838300905,3.6343688100319724,512758,583652,23797,18858,0.030002467223619555,0.1146248106748542,0.0407725836628676,0.03231034931774414
639,3266,-0.6727272725549994,9.037993039443155,0.9341205917273689,3.98884545246821,29110,31163,1278,1136,0.020505086159869075,0.1048037737059975,0.04101017231973815,0.03645348650643391
4727,18093,-0.585714285688619,9.122193436960277,1.3393666871775454,4.184624049655129,141484,105635,4890,5053,0.04474842618450324,0.1712784588441331,0.04629147536327922,0.04783452454205519
